Model,Engine_Size,Mileage,Doors,Owner_Count,Price,Brand_BMW,Brand_Chevrolet,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_Kia,Brand_Mercedes,Brand_Toyota,Brand_Volkswagen,Fuel_Type_Electric,Fuel_Type_Hybrid,Fuel_Type_Petrol,Transmission_Manual,Transmission_Semi-Automatic,Car_Age
Rio,0.8,0.9666479951454044,3,5,0.39880988896386727,False,False,False,False,False,True,False,False,False,False,False,False,True,False,5
Malibu,0.25,0.017774621401564408,2,3,0.6191031225078216,False,True,False,False,False,False,False,False,False,False,True,False,False,False,13
GLA,0.8,0.7715839451590747,4,2,0.5626035212563646,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5
Q5,0.25,0.5366261894759304,2,1,0.5999631924421814,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2
Golf,0.4,0.9555584451957508,3,3,0.053186921047788493,False,False,False,False,False,False,False,False,True,False,True,False,False,True,22
Camry,0.42500000000000004,0.5263501843812725,4,4,0.32157536347463345,False,False,False,False,False,False,False,True,False,False,False,True,False,False,18
Civic,0.6,0.46531764925547314,3,1,0.5648733206551745,False,False,False,True,False,False,False,False,False,True,False,False,False,False,15
Sportage,0.925,0.525036509492468,2,2,0.36500828170050914,False,False,False,False,False,True,False,False,False,True,False,False,False,True,24
Sportage,0.4,0.32900220724054924,3,4,0.48622783878289677,False,False,False,False,False,True,False,False,False,False,True,False,True,False,11
RAV4,0.525,0.3590900300744861,2,5,0.27881725047543093,False,False,False,False,False,False,False,True,False,False,False,True,True,False,20
5 Series,0.07500000000000001,0.989587292696101,2,3,0.23697932642169192,True,False,False,False,False,False,False,False,False,False,True,False,False,False,12
Golf,0.875,0.14260374364001308,4,3,0.5793509600637997,False,False,False,False,False,False,False,False,True,False,True,False,True,False,16
CR-V,0.95,0.44294849994331864,3,4,0.5424207103858659,False,False,False,True,False,False,False,False,False,False,True,False,False,False,18
Elantra,0.32499999999999996,0.6300671507925394,2,1,0.1729955217471321,False,False,False,False,True,False,False,False,False,False,True,False,False,True,21
Golf,0.35,0.48644647608378183,5,2,0.24421814612600454,False,False,False,False,False,False,False,False,True,False,False,True,False,False,22
Golf,0.55,0.2003120811410967,2,1,0.4721796208821545,False,False,False,False,False,False,False,False,True,False,False,False,False,False,18
Elantra,0.475,0.12705970218923587,5,2,0.7874976995276364,False,False,False,False,True,False,False,False,False,True,False,False,False,False,8
Tiguan,0.875,0.13715566047172265,2,2,0.5874486227838783,False,False,False,False,False,False,False,False,True,True,False,False,True,False,19
Rio,0.6,0.858229806416335,3,3,0.02153242132384517,False,False,False,False,False,True,False,False,False,False,False,False,False,True,25
GLA,0.125,0.11541334080194185,2,1,0.564811974725477,False,False,False,False,False,False,True,False,False,False,False,True,True,False,4
Equinox,0.2,0.07080507598642315,2,1,0.6977486043800993,False,True,False,False,False,False,False,False,False,False,True,False,False,False,7
RAV4,0.8999999999999999,0.13933289321890358,2,2,0.4210171155143856,False,False,False,False,False,False,False,True,False,False,True,False,False,True,25
RAV4,0.25,0.4555751161968779,5,4,0.2617017360898104,False,False,False,False,False,False,False,True,False,True,False,False,True,False,22
Explorer,0.44999999999999996,0.3330732657157528,4,2,0.34973314520581555,False,False,True,False,False,False,False,False,False,False,True,False,True,False,19
GLA,0.725,0.06616053507245218,3,4,0.6381203607140666,False,False,False,False,False,False,True,False,False,False,False,True,False,True,9
Sportage,0.2,0.30728989537279694,2,4,0.42058769400650264,False,False,False,False,False,True,False,False,False,False,False,False,False,False,14
A3,0.575,0.2644854328792153,5,3,0.761487025335869,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3
3 Series,0.32499999999999996,0.4757103513580198,5,3,0.5303355622354456,True,False,False,False,False,False,False,False,False,True,False,False,False,True,8
3 Series,0.925,0.7026560238995472,3,3,0.6492853199190234,True,False,False,False,False,False,False,False,False,True,False,False,False,True,5
Equinox,0.22499999999999998,0.40607557965070923,4,4,0.48849763818170666,False,True,False,False,False,False,False,False,False,False,True,False,False,False,12
Tucson,0.725,0.7122451837477745,4,5,0.4494816268940556,False,False,False,False,True,False,False,False,False,True,False,False,False,False,18
Passat,0.625,0.29459659511472985,3,1,0.5049996932703515,False,False,False,False,False,False,False,False,True,True,False,False,True,False,17
Impala,0.32499999999999996,0.612139156180607,5,1,0.4494816268940556,False,True,False,False,False,False,False,False,False,False,False,True,False,False,8
GLA,0.575,0.26726615586719216,3,5,0.594810134347586,False,False,False,False,False,False,True,False,False,True,False,False,False,True,12
Corolla,0.55,0.44154480164842863,4,4,0.4386233973375866,False,False,False,False,False,False,False,True,False,False,False,False,False,False,15
Optima,0.875,0.06189942718440128,2,5,0.47408134470277896,False,False,False,False,False,True,False,False,False,False,False,True,True,False,20
Q5,0.625,0.8781816605650803,4,1,0.32090055824796027,False,False,False,False,False,False,False,False,False,False,True,False,False,True,12
Sportage,0.09999999999999998,0.556894792646088,5,4,0.13244586221704188,False,False,False,False,False,True,False,False,False,True,False,False,True,False,25
Fiesta,0.30000000000000004,0.9247004221097486,2,4,0.29765045089258324,False,False,True,False,False,False,False,False,False,False,True,False,True,False,8
A4,0.0,0.3147151592747448,2,1,0.14790503650082817,False,False,False,False,False,False,False,False,False,False,False,True,True,False,21
Focus,0.04999999999999999,0.312147825101193,3,3,0.2838476167106313,False,False,True,False,False,False,False,False,False,True,False,False,True,False,21
5 Series,0.9750000000000001,0.4016577643520649,2,1,0.41040426967670696,True,False,False,False,False,False,False,False,False,False,False,True,True,False,18
Civic,0.725,0.18669854162082142,2,4,0.36065272069198206,False,False,False,True,False,False,False,False,False,False,True,False,True,False,25
RAV4,0.725,0.439590960316349,5,3,0.47616710631249615,False,False,False,False,False,False,False,True,False,True,False,False,False,False,22
Q5,0.65,0.7944765639066157,5,2,0.6032145267161524,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2
Focus,0.32499999999999996,0.8513780249531545,5,5,0.25102754432243424,False,False,True,False,False,False,False,False,False,False,False,False,False,False,14
A4,0.35,0.8794686618520815,2,5,0.11802956873811424,False,False,False,False,False,False,False,False,False,False,False,False,True,False,16
Elantra,0.44999999999999996,0.3676122458505878,3,3,0.3983804674559843,False,False,False,False,True,False,False,False,False,True,False,False,True,False,19
A3,0.04999999999999999,0.37150659171384565,5,1,0.4460462548309919,False,False,False,False,False,False,False,False,False,True,False,False,False,False,16
GLA,0.22499999999999998,0.6834443622008388,2,2,0.2330531869210478,False,False,False,False,False,False,True,False,False,False,False,True,True,False,12
E-Class,0.9750000000000001,0.5843119210994858,3,5,0.28795779400036814,False,False,False,False,False,False,True,False,False,False,False,True,False,True,21
GLA,0.7,0.6383026253492574,3,2,0.5318692104778848,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3
Focus,0.2,0.9358699928648115,3,1,0.16471382123796088,False,False,True,False,False,False,False,False,False,True,False,False,False,True,17
Civic,0.4,0.22256453344536245,5,1,0.6051162505367769,False,False,False,True,False,False,False,False,False,True,False,False,False,True,10
Optima,0.55,0.293559658844633,3,5,0.7078093368505,False,False,False,False,False,True,False,False,False,True,False,False,True,False,5
3 Series,0.475,0.9368935923340068,3,5,0.2870376050549046,True,False,False,False,False,False,False,False,False,True,False,False,False,True,14
Impala,0.2,0.07385253499243137,2,2,0.5248757744923624,False,True,False,False,False,False,False,False,False,False,False,False,False,True,8
Passat,0.25,0.959259407445936,3,3,0.07637568247346788,False,False,False,False,False,False,False,False,True,True,False,False,True,False,22
Sonata,0.65,0.3430291875887731,3,3,0.5668977363351941,False,False,False,False,True,False,False,False,False,True,False,False,False,False,18
Civic,0.35,0.20102226578910518,2,5,0.3860499355867738,False,False,False,True,False,False,False,False,False,False,False,True,False,False,20
Camry,0.07500000000000001,0.627069704789912,2,2,0.21704189926998343,False,False,False,False,False,False,False,True,False,False,False,True,False,False,17
Fiesta,0.75,0.2844839658311161,3,3,0.4351266793448254,False,False,True,False,False,False,False,False,False,False,False,False,False,False,21
Focus,0.95,0.3353471902694701,4,2,0.7905649960125146,False,False,True,False,False,False,False,False,False,True,False,False,False,False,10
